scale,token,a_match,b_match,linear_score,softmax_weight,linear_weight
0.25,A_only_1,3.0,-1.0,0.5,0.13415542506373254,0.16666666666666666
0.25,A_only_2,3.0,-1.0,0.5,0.13415542506373254,0.16666666666666666
0.25,B_only_1,-1.0,3.0,0.5,0.13415542506373254,0.16666666666666666
0.25,B_only_2,-1.0,3.0,0.5,0.13415542506373254,0.16666666666666666
0.25,both,3.0,3.0,1.5,0.3646722541399433,0.3333333333333333
0.25,neither_1,-1.0,-1.0,-0.5,0.049353022802563234,0.0
0.25,neither_2,-1.0,-1.0,-0.5,0.049353022802563234,0.0
0.5,A_only_1,3.0,-1.0,1.0,0.08576530382715979,0.16666666666666666
0.5,A_only_2,3.0,-1.0,1.0,0.08576530382715979,0.16666666666666666
0.5,B_only_1,-1.0,3.0,1.0,0.08576530382715979,0.16666666666666666
0.5,B_only_2,-1.0,3.0,1.0,0.08576530382715979,0.16666666666666666
0.5,both,3.0,3.0,3.0,0.6337246413207153,0.3333333333333333
0.5,neither_1,-1.0,-1.0,-1.0,0.011607071685322812,0.0
0.5,neither_2,-1.0,-1.0,-1.0,0.011607071685322812,0.0
0.75,A_only_1,3.0,-1.0,1.5,0.04134775306684771,0.16666666666666666
0.75,A_only_2,3.0,-1.0,1.5,0.04134775306684771,0.16666666666666666
0.75,B_only_1,-1.0,3.0,1.5,0.04134775306684771,0.16666666666666666
0.75,B_only_2,-1.0,3.0,1.5,0.04134775306684771,0.16666666666666666
0.75,both,3.0,3.0,4.5,0.8304918209150158,0.3333333333333333
0.75,neither_1,-1.0,-1.0,-1.5,0.0020585834087967028,0.0
0.75,neither_2,-1.0,-1.0,-1.5,0.0020585834087967028,0.0
1.0,A_only_1,3.0,-1.0,2.0,0.01705472379435196,0.16666666666666666
1.0,A_only_2,3.0,-1.0,2.0,0.01705472379435196,0.16666666666666666
1.0,B_only_1,-1.0,3.0,2.0,0.01705472379435196,0.16666666666666666
1.0,B_only_2,-1.0,3.0,2.0,0.01705472379435196,0.16666666666666666
1.0,both,3.0,3.0,6.0,0.9311563684978633,0.3333333333333333
1.0,neither_1,-1.0,-1.0,-2.0,0.0003123681623644529,0.0
1.0,neither_2,-1.0,-1.0,-2.0,0.0003123681623644529,0.0
1.25,A_only_1,3.0,-1.0,2.5,0.00656053320354721,0.16666666666666666
1.25,A_only_2,3.0,-1.0,2.5,0.00656053320354721,0.16666666666666666
1.25,B_only_1,-1.0,3.0,2.5,0.00656053320354721,0.16666666666666666
1.25,B_only_2,-1.0,3.0,2.5,0.00656053320354721,0.16666666666666666
1.25,both,3.0,3.0,7.5,0.9736694581357886,0.3333333333333333
1.25,neither_1,-1.0,-1.0,-2.5,4.420452501124149e-05,0.0
1.25,neither_2,-1.0,-1.0,-2.5,4.420452501124149e-05,0.0
1.5,A_only_1,3.0,-1.0,3.0,0.002454386750122589,0.16666666666666666
1.5,A_only_2,3.0,-1.0,3.0,0.002454386750122589,0.16666666666666666
1.5,B_only_1,-1.0,3.0,3.0,0.002454386750122589,0.16666666666666666
1.5,B_only_2,-1.0,3.0,3.0,0.002454386750122589,0.16666666666666666
1.5,both,3.0,3.0,9.0,0.9901702853665112,0.3333333333333333
1.5,neither_1,-1.0,-1.0,-3.0,6.083816499247437e-06,0.0
1.5,neither_2,-1.0,-1.0,-3.0,6.083816499247437e-06,0.0
2.0,A_only_1,3.0,-1.0,4.0,0.000335013015115287,0.16666666666666666
2.0,A_only_2,3.0,-1.0,4.0,0.000335013015115287,0.16666666666666666
2.0,B_only_1,-1.0,3.0,4.0,0.000335013015115287,0.16666666666666666
2.0,B_only_2,-1.0,3.0,4.0,0.000335013015115287,0.16666666666666666
2.0,both,3.0,3.0,12.0,0.9986597231708461,0.3333333333333333
2.0,neither_1,-1.0,-1.0,-4.0,1.1238434643211809e-07,0.0
2.0,neither_2,-1.0,-1.0,-4.0,1.1238434643211809e-07,0.0
2.5,A_only_1,3.0,-1.0,5.0,4.5391686457858424e-05,0.16666666666666666
2.5,A_only_2,3.0,-1.0,5.0,4.5391686457858424e-05,0.16666666666666666
2.5,B_only_1,-1.0,3.0,5.0,4.5391686457858424e-05,0.16666666666666666
2.5,B_only_2,-1.0,3.0,5.0,4.5391686457858424e-05,0.16666666666666666
2.5,both,3.0,3.0,15.0,0.9998184291326099,0.3333333333333333
2.5,neither_1,-1.0,-1.0,-5.0,2.060779376987507e-09,0.0
2.5,neither_2,-1.0,-1.0,-5.0,2.060779376987507e-09,0.0
3.0,A_only_1,3.0,-1.0,6.0,6.144061351193702e-06,0.16666666666666666
3.0,A_only_2,3.0,-1.0,6.0,6.144061351193702e-06,0.16666666666666666
3.0,B_only_1,-1.0,3.0,6.0,6.144061351193702e-06,0.16666666666666666
3.0,B_only_2,-1.0,3.0,6.0,6.144061351193702e-06,0.16666666666666666
3.0,both,3.0,3.0,18.0,0.9999754236790944,0.3333333333333333
3.0,neither_1,-1.0,-1.0,-6.0,3.775041765361076e-11,0.0
3.0,neither_2,-1.0,-1.0,-6.0,3.775041765361076e-11,0.0
